"LIBELLE
",Produits accidentels,Produits sanitaires,Produits accidentels et sanitaires
Récolte de bois commercialisé,"2,1","6,8","8,9"
Bois d'œuvre,"1,6","8,9","10,5"
Feuillus,"0,2","6,1","6,3"
Chêne,"0,2","3,9","4,2"
Hêtre,"0,2","13,4","13,6"
Châtaignier,"0,0","0,3","0,3"
Feuillus précieux,"0,3","25,1","25,4"
Peuplier,"0,0","0,2","0,3"
Autres feuillus,"0,0","10,3","10,3"
Conifères,"2,1","9,8","11,9"
Sapin,"1,6","15,5","17,1"
Epicéa,"1,2","21,0","22,2"
Douglas,"0,2","0,8","1,0"
Mélèze,"0,6","0,8","1,5"
Pin maritime,"6,2","0,1","6,3"
Pin sylvestre,"0,3","1,8","2,0"
Autres conifères,"1,4","3,3","4,7"
Bois d'industrie,"3,6","4,2","7,7"
Bois de trituration,"3,8","4,4","8,2"
Feuillus,"0,4","4,0","4,4"
Conifères,"5,9","4,6","10,5"
"Conifères blancs : sapin, épicéa","1,6","13,7","15,3"
Pins maritimes,"9,7","0,5","10,1"
Autres conifères rouges,"0,8","4,5","5,3"
Autres bois d'industrie,"0,1","0,9","1,1"
Feuillus,"0,0","1,1","1,1"
Conifères (dont poteaux),"0,3","0,7","1,0"
Bois énergie,"1,5","5,6","7,1"
